Size Bound,Players,Total Time,Propositions,Solver,Encoding Time,Verification,Learned Formula Size,Solving Time,Original Formula,Sample,Sample size,Learned Formula,Formula Type,Model Type
20,2,813.74,3,msat,451.42,True,5,362.32,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),test_suite/large_cgs/CGS/f:07-nm:020-sm:018.sp,40,"<>G((<0,1>(p U <0>X(p)) -> <0>X(p)))",atl,cgs
20,2,2.58,2,msat,2.4,True,2,0.18,<1>X(p),test_suite/large_cgs/CGS/f:01-nm:005-sm:018.sp,10,<1>X(q),atl,cgs
20,2,8.23,2,msat,7.83,True,2,0.4,<1>X(p),test_suite/large_cgs/CGS/f:01-nm:010-sm:018.sp,20,<1>X(p),atl,cgs
20,2,0.73,2,msat,0.67,True,4,0.06,<>G((p -> <1>G(p))),test_suite/large_cgs/CGS/f:04-nm:005-sm:003.sp,10,"(<0,1>F(q) -> <>X(q))",atl,cgs
20,2,0.85,2,msat,0.83,True,2,0.02,<0>F(p),test_suite/large_cgs/CGS/f:02-nm:020-sm:003.sp,40,<0>F(p),atl,cgs
20,2,1497.3,2,msat,642.09,True,6,855.22,<>G(((p & (! q)) -> <1>G(p))),test_suite/large_cgs/CGS/f:03-nm:025-sm:013.sp,50,<>G((q | (p -> <1>G(p)))),atl,cgs
20,2,248.03,2,msat,184.03,True,5,64.0,<>G((p -> <1>X(q))),test_suite/large_cgs/CGS/f:06-nm:030-sm:008.sp,60,<>G((p -> <1>X(q))),atl,cgs
20,2,237.1,2,msat,228.36,True,4,8.74,<>G((p -> <1>G(p))),test_suite/large_cgs/CGS/f:04-nm:015-sm:023.sp,30,<>G((p -> <1>X(p))),atl,cgs
20,2,107.61,2,msat,105.49,True,2,2.11,<0>F(p),test_suite/large_cgs/CGS/f:02-nm:030-sm:023.sp,60,<0>F(p),atl,cgs
20,2,2153.37,2,msat,1761.96,True,5,391.41,<>G((p -> <1>X(q))),test_suite/large_cgs/CGS/f:06-nm:030-sm:023.sp,60,<>G((p -> <1>X(q))),atl,cgs
20,2,32.41,2,msat,29.18,True,4,3.23,<>G((p -> <1>G(p))),test_suite/large_cgs/CGS/f:04-nm:015-sm:008.sp,30,<>G((p -> <1>X(p))),atl,cgs
20,2,12.09,2,msat,11.88,True,2,0.2,<0>F(p),test_suite/large_cgs/CGS/f:02-nm:030-sm:008.sp,60,<0>F(p),atl,cgs
20,2,1158.5,3,msat,633.09,True,6,525.41,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),test_suite/large_cgs/CGS/f:07-nm:025-sm:013.sp,50,<>G((<>X(<0>F(p)) -> (! p))),atl,cgs
