Solving Time,Sample,Size Bound,Sample size,Total Time,Encoding Time,Verification,Model Type,Learned Formula,Learned Formula Size,Formula Type,Original Formula,Solver
0,test_suite/large_random/Kripke/f:06-nm:100-sm:035.sp,15,200,0,0,,kripke,,,ctl,AG((p)|(AX(!(q)))),msat
796.44,test_suite/large_random/Kripke/f:06-nw:012-sm:025.sp,15,25,1178.37,381.93,True,kripke,AG((EX(q))->(p)),5,ctl,AG((p)|(AX(!(q)))),msat
4.03,test_suite/large_random/Kripke/f:02-nw:025-sm:015.sp,15,50,113.62,109.58,True,kripke,AG(EF(q)),3,ctl,AG(EF(q)),msat
118.31,test_suite/large_random/Kripke/f:06-nw:025-sm:015.sp,15,50,460.31,342.0,True,kripke,AG((EX(q))->(p)),5,ctl,AG((p)|(AX(!(q)))),msat
442.43,test_suite/large_random/Kripke/f:04-nw:012-sm:045.sp,15,25,1062.64,620.2,True,kripke,AG((q)|(p)),4,ctl,AG((p)|(q)),msat
6.24,test_suite/large_random/Kripke/f:02-nw:012-sm:025.sp,15,25,100.23,93.99,True,kripke,AG(EF(q)),3,ctl,AG(EF(q)),msat
0,test_suite/large_random/Kripke/f:02-nm:100-sm:035.sp,15,200,0,0,,kripke,,,ctl,AG(EF(q)),msat
24.3,test_suite/large_random/Kripke/f:01-nw:025-sm:045.sp,15,50,1031.46,1007.16,True,kripke,AX(AF(p)),3,ctl,AG(AF(p)),msat
0,test_suite/large_random/Kripke/f:07-nw:075-sm:035.sp,15,150,0,0,,kripke,,,ctl,(AG(AF(p)))&(AG(AF(q))),msat
60.16,test_suite/large_random/Kripke/f:01-nw:050-sm:035.sp,15,100,2224.5,2164.35,True,kripke,AG(AF(p)),3,ctl,AG(AF(p)),msat
188.05,test_suite/large_random/Kripke/f:03-nw:012-sm:015.sp,15,25,317.69,129.64,True,kripke,AG((p)->(AF(q))),5,ctl,AG((p)->(AF(q))),msat
11.2,test_suite/large_random/Kripke/f:07-nw:025-sm:025.sp,15,50,286.46,275.26,True,kripke,AG(AF(q)),3,ctl,(AG(AF(p)))&(AG(AF(q))),msat
511.38,test_suite/large_random/Kripke/f:06-nw:050-sm:015.sp,15,100,1967.29,1455.9,True,kripke,AG((EX(q))->(p)),5,ctl,AG((p)|(AX(!(q)))),msat
58.36,test_suite/large_random/Kripke/f:04-nw:012-sm:035.sp,15,25,416.92,358.56,True,kripke,AG((q)|(p)),4,ctl,AG((p)|(q)),msat
0,test_suite/large_random/Kripke/f:04-nm:100-sm:025.sp,15,200,0,0,,kripke,,,ctl,AG((p)|(q)),msat
0,test_suite/large_random/Kripke/f:02-nm:100-sm:045.sp,15,200,0,0,,kripke,,,ctl,AG(EF(q)),msat
0,test_suite/large_random/Kripke/f:01-nw:050-sm:045.sp,15,100,0,0,,kripke,,,ctl,AG(AF(p)),msat
0,test_suite/large_random/Kripke/f:07-nw:075-sm:045.sp,15,150,0,0,,kripke,,,ctl,(AG(AF(p)))&(AG(AF(q))),msat
27.77,test_suite/large_random/Kripke/f:01-nw:025-sm:035.sp,15,50,579.45,551.68,True,kripke,AG(AF(p)),3,ctl,AG(AF(p)),msat
0,test_suite/large_random/Kripke/f:05-nm:100-sm:015.sp,15,200,0,0,,kripke,,,ctl,AG((!(p))|(!(q))),msat
37.97,test_suite/large_random/Kripke/f:01-nw:075-sm:025.sp,15,150,2278.8,2240.82,True,kripke,AG(AF(p)),3,ctl,AG(AF(p)),msat
29.34,test_suite/large_random/Kripke/f:07-nw:050-sm:025.sp,15,100,1138.53,1109.2,True,kripke,AG(AF(q)),3,ctl,(AG(AF(p)))&(AG(AF(q))),msat
0,test_suite/large_random/Kripke/f:05-nw:075-sm:025.sp,15,150,0,0,,kripke,,,ctl,AG((!(p))|(!(q))),msat
0,test_suite/large_random/Kripke/f:03-nw:050-sm:025.sp,15,100,0,0,,kripke,,,ctl,AG((p)->(AF(q))),msat
14.42,test_suite/large_random/Kripke/f:01-nm:100-sm:015.sp,15,200,1493.2,1478.78,True,kripke,AG(AF(p)),3,ctl,AG(AF(p)),msat
0,test_suite/large_random/Kripke/f:05-nw:025-sm:035.sp,15,50,0,0,,kripke,,,ctl,AG((!(p))|(!(q))),msat
0,test_suite/large_random/Kripke/f:05-nw:050-sm:045.sp,15,100,0,0,,kripke,,,ctl,AG((!(p))|(!(q))),msat
0,test_suite/large_random/Kripke/f:03-nw:075-sm:045.sp,15,150,0,0,,kripke,,,ctl,AG((p)->(AF(q))),msat
0,test_suite/large_random/Kripke/f:06-nm:100-sm:045.sp,15,200,0,0,,kripke,,,ctl,AG((p)|(AX(!(q)))),msat
4.75,test_suite/large_random/Kripke/f:02-nw:050-sm:015.sp,15,100,392.87,388.12,True,kripke,AG(EF(q)),3,ctl,AG(EF(q)),msat
35.27,test_suite/large_random/Kripke/f:04-nw:075-sm:015.sp,15,150,1984.94,1949.66,True,kripke,AG((p)|(q)),4,ctl,AG((p)|(q)),msat
47.34,test_suite/large_random/Kripke/f:07-nw:025-sm:045.sp,15,50,967.4,920.07,True,kripke,AG(AF(p)),3,ctl,(AG(AF(p)))&(AG(AF(q))),msat
33.36,test_suite/large_random/Kripke/f:07-nw:050-sm:035.sp,15,100,2187.48,2154.12,True,kripke,AG(AF(p)),3,ctl,(AG(AF(p)))&(AG(AF(q))),msat
0,test_suite/large_random/Kripke/f:01-nw:075-sm:035.sp,15,150,0,0,,kripke,,,ctl,AG(AF(p)),msat
39.95,test_suite/large_random/Kripke/f:05-nw:012-sm:015.sp,15,25,151.83,111.88,True,kripke,AG((q)->(!(p))),5,ctl,AG((!(p))|(!(q))),msat
10.68,test_suite/large_random/Kripke/f:01-nw:025-sm:025.sp,15,50,274.37,263.69,True,kripke,AG(AF(p)),3,ctl,AG(AF(p)),msat
17.92,test_suite/large_random/Kripke/f:02-nw:012-sm:045.sp,15,25,287.76,269.84,True,kripke,AG(EF(q)),3,ctl,AG(EF(q)),msat
53.77,test_suite/large_random/Kripke/f:04-nw:012-sm:025.sp,15,25,226.77,173.01,True,kripke,AG((p)|(q)),4,ctl,AG((p)|(q)),msat
0,test_suite/large_random/Kripke/f:04-nm:100-sm:035.sp,15,200,0,0,,kripke,,,ctl,AG((p)|(q)),msat
362.83,test_suite/large_random/Kripke/f:06-nw:012-sm:045.sp,15,25,1470.73,1107.9,True,kripke,!(AX(EX(EX(q)))),5,ctl,AG((p)|(AX(!(q)))),msat
23.62,test_suite/large_random/Kripke/f:04-nw:025-sm:015.sp,15,50,233.45,209.83,True,kripke,AG((p)|(q)),4,ctl,AG((p)|(q)),msat
405.67,test_suite/large_random/Kripke/f:05-nw:025-sm:025.sp,15,50,1742.93,1337.25,True,kripke,AG((q)->(!(p))),5,ctl,AG((!(p))|(!(q))),msat
0,test_suite/large_random/Kripke/f:03-nw:050-sm:035.sp,15,100,0,0,,kripke,,,ctl,AG((p)->(AF(q))),msat
0,test_suite/large_random/Kripke/f:05-nw:075-sm:035.sp,15,150,0,0,,kripke,,,ctl,AG((!(p))|(!(q))),msat
1.34,test_suite/large_random/Kripke/f:01-nw:012-sm:015.sp,15,25,26.63,25.28,True,kripke,AG(AF(p)),3,ctl,AG(AF(p)),msat
0,test_suite/large_random/Kripke/f:03-nw:025-sm:045.sp,15,50,0,0,,kripke,,,ctl,AG((p)->(AF(q))),msat
0,test_suite/large_random/Kripke/f:06-nm:100-sm:025.sp,15,200,0,0,,kripke,,,ctl,AG((p)|(AX(!(q)))),msat
7.65,test_suite/large_random/Kripke/f:02-nw:075-sm:015.sp,15,150,892.78,885.13,True,kripke,AG(EF(q)),3,ctl,AG(EF(q)),msat
19.53,test_suite/large_random/Kripke/f:04-nw:050-sm:015.sp,15,100,826.2,806.67,True,kripke,AG((q)|(p)),4,ctl,AG((p)|(q)),msat
443.13,test_suite/large_random/Kripke/f:06-nw:012-sm:035.sp,15,25,1122.92,679.79,True,kripke,E(!(q)) U (AG(A(q) U (!(q)))),5,ctl,AG((p)|(AX(!(q)))),msat
0,test_suite/large_random/Kripke/f:05-nw:050-sm:025.sp,15,100,0,0,,kripke,,,ctl,AG((!(p))|(!(q))),msat
0,test_suite/large_random/Kripke/f:03-nw:075-sm:025.sp,15,150,0,0,,kripke,,,ctl,AG((p)->(AF(q))),msat
0,test_suite/large_random/Kripke/f:07-nm:100-sm:015.sp,15,200,0,0,,kripke,,,ctl,(AG(AF(p)))&(AG(AF(q))),msat
0,test_suite/large_random/Kripke/f:03-nw:025-sm:035.sp,15,50,0,0,,kripke,,,ctl,AG((p)->(AF(q))),msat
0,test_suite/large_random/Kripke/f:05-nw:075-sm:045.sp,15,150,0,0,,kripke,,,ctl,AG((!(p))|(!(q))),msat
0,test_suite/large_random/Kripke/f:03-nw:050-sm:045.sp,15,100,0,0,,kripke,,,ctl,AG((p)->(AF(q))),msat
0,test_suite/large_random/Kripke/f:01-nw:075-sm:045.sp,15,150,0,0,,kripke,,,ctl,AG(AF(p)),msat
0,test_suite/large_random/Kripke/f:07-nw:050-sm:045.sp,15,100,0,0,,kripke,,,ctl,(AG(AF(p)))&(AG(AF(q))),msat
15.74,test_suite/large_random/Kripke/f:07-nw:025-sm:035.sp,15,50,564.23,548.49,True,kripke,AG(AF(q)),3,ctl,(AG(AF(p)))&(AG(AF(q))),msat
0,test_suite/large_random/Kripke/f:03-nm:100-sm:015.sp,15,200,0,0,,kripke,,,ctl,AG((p)->(AF(q))),msat
24.13,test_suite/large_random/Kripke/f:01-nw:050-sm:025.sp,15,100,1022.01,997.88,True,kripke,AG(AF(p)),3,ctl,AG(AF(p)),msat
49.74,test_suite/large_random/Kripke/f:07-nw:075-sm:025.sp,15,150,2521.09,2471.36,True,kripke,AG(AF(q)),3,ctl,(AG(AF(p)))&(AG(AF(q))),msat
0,test_suite/large_random/Kripke/f:06-nw:075-sm:015.sp,15,150,0,0,,kripke,,,ctl,AG((p)|(AX(!(q)))),msat
15.41,test_suite/large_random/Kripke/f:02-nw:012-sm:035.sp,15,25,184.57,169.16,True,kripke,AG(EF(q)),3,ctl,AG(EF(q)),msat
0,test_suite/large_random/Kripke/f:02-nm:100-sm:025.sp,15,200,0,0,,kripke,,,ctl,AG(EF(q)),msat
0,test_suite/large_random/Kripke/f:04-nm:100-sm:045.sp,15,200,0,0,,kripke,,,ctl,AG((p)|(q)),msat
0,test_suite/large_random/Kripke/f:06-nw:075-sm:045.sp,15,150,0,0,,kripke,,,ctl,AG((p)|(AX(!(q)))),msat
0,test_suite/large_random/Kripke/f:04-nm:100-sm:015.sp,15,200,0,0,,kripke,,,ctl,AG((p)|(q)),msat
0,test_suite/large_random/Kripke/f:06-nw:050-sm:025.sp,15,100,0,0,,kripke,,,ctl,AG((p)|(AX(!(q)))),msat
12.29,test_suite/large_random/Kripke/f:01-nw:075-sm:015.sp,15,150,838.85,826.56,True,kripke,AG(AF(p)),3,ctl,AG(AF(p)),msat
145.86,test_suite/large_random/Kripke/f:07-nw:050-sm:015.sp,15,100,1703.92,1558.06,True,kripke,AG(A(AF(q)) U (p)),5,ctl,(AG(AF(p)))&(AG(AF(q))),msat
599.32,test_suite/large_random/Kripke/f:05-nw:012-sm:035.sp,15,25,1269.44,670.12,True,kripke,AG((q)->(!(p))),5,ctl,AG((!(p))|(!(q))),msat
0,test_suite/large_random/Kripke/f:05-nm:100-sm:025.sp,15,200,0,0,,kripke,,,ctl,AG((!(p))|(!(q))),msat
0,test_suite/large_random/Kripke/f:03-nm:100-sm:045.sp,15,200,0,0,,kripke,,,ctl,AG((p)->(AF(q))),msat
0,test_suite/large_random/Kripke/f:07-nm:100-sm:045.sp,15,200,0,0,,kripke,,,ctl,(AG(AF(p)))&(AG(AF(q))),msat
0,test_suite/large_random/Kripke/f:01-nm:100-sm:025.sp,15,200,0,0,,kripke,,,ctl,AG(AF(p)),msat
0,test_suite/large_random/Kripke/f:05-nw:075-sm:015.sp,15,150,0,0,,kripke,,,ctl,AG((!(p))|(!(q))),msat
405.42,test_suite/large_random/Kripke/f:03-nw:050-sm:015.sp,15,100,2310.8,1905.39,True,kripke,AG((p)->(AF(q))),5,ctl,AG((p)->(AF(q))),msat
12.85,test_suite/large_random/Kripke/f:01-nw:012-sm:035.sp,15,25,165.94,153.09,True,kripke,AG(AF(p)),3,ctl,AG(AF(p)),msat
28.95,test_suite/large_random/Kripke/f:02-nw:050-sm:025.sp,15,100,1214.39,1185.44,True,kripke,AG(EF(q)),3,ctl,AG(EF(q)),msat
0,test_suite/large_random/Kripke/f:04-nw:075-sm:025.sp,15,150,0,0,,kripke,,,ctl,AG((p)|(q)),msat
185.68,test_suite/large_random/Kripke/f:04-nw:025-sm:035.sp,15,50,1526.74,1341.06,True,kripke,AG((p)|(q)),4,ctl,AG((p)|(q)),msat
0,test_suite/large_random/Kripke/f:02-nw:075-sm:045.sp,15,150,0,0,,kripke,,,ctl,AG(EF(q)),msat
0,test_suite/large_random/Kripke/f:04-nw:050-sm:045.sp,15,100,0,0,,kripke,,,ctl,AG((p)|(q)),msat
0,test_suite/large_random/Kripke/f:07-nm:100-sm:035.sp,15,200,0,0,,kripke,,,ctl,(AG(AF(p)))&(AG(AF(q))),msat
4.63,test_suite/large_random/Kripke/f:07-nw:012-sm:025.sp,15,25,80.7,76.07,True,kripke,AG(AF(p)),3,ctl,(AG(AF(p)))&(AG(AF(q))),msat
11.59,test_suite/large_random/Kripke/f:01-nw:012-sm:045.sp,15,25,278.59,267.0,True,kripke,AX(AF(p)),3,ctl,AG(AF(p)),msat
255.18,test_suite/large_random/Kripke/f:03-nw:025-sm:015.sp,15,50,733.31,478.13,True,kripke,AG((p)->(AF(q))),5,ctl,AG((p)->(AF(q))),msat
11.42,test_suite/large_random/Kripke/f:02-nw:025-sm:025.sp,15,50,329.06,317.64,True,kripke,AG(EF(q)),3,ctl,AG(EF(q)),msat
0,test_suite/large_random/Kripke/f:04-nw:050-sm:035.sp,15,100,0,0,,kripke,,,ctl,AG((p)|(q)),msat
0,test_suite/large_random/Kripke/f:02-nw:075-sm:035.sp,15,150,0,0,,kripke,,,ctl,AG(EF(q)),msat
62.35,test_suite/large_random/Kripke/f:06-nw:012-sm:015.sp,15,25,148.74,86.39,True,kripke,AG((EX(q))->(p)),5,ctl,AG((p)|(AX(!(q)))),msat
0,test_suite/large_random/Kripke/f:04-nw:025-sm:045.sp,15,50,0,0,,kripke,,,ctl,AG((p)|(q)),msat
0,test_suite/large_random/Kripke/f:06-nw:075-sm:035.sp,15,150,0,0,,kripke,,,ctl,AG((p)|(AX(!(q)))),msat
1.96,test_suite/large_random/Kripke/f:02-nw:012-sm:015.sp,15,25,32.94,30.97,True,kripke,AG(EF(q)),3,ctl,AG(EF(q)),msat
792.06,test_suite/large_random/Kripke/f:06-nw:025-sm:025.sp,15,50,2171.32,1379.26,True,kripke,AG((EX(q))->(p)),5,ctl,AG((p)|(AX(!(q)))),msat
96.62,test_suite/large_random/Kripke/f:07-nw:025-sm:015.sp,15,50,492.5,395.87,True,kripke,AG(A(AF(q)) U (p)),5,ctl,(AG(AF(p)))&(AG(AF(q))),msat
0,test_suite/large_random/Kripke/f:05-nw:012-sm:045.sp,15,25,0,0,,kripke,,,ctl,AG((!(p))|(!(q))),msat
590.32,test_suite/large_random/Kripke/f:03-nw:012-sm:025.sp,15,25,921.81,331.49,True,kripke,AG((p)->(AF(q))),5,ctl,AG((p)->(AF(q))),msat
0,test_suite/large_random/Kripke/f:03-nm:100-sm:035.sp,15,200,0,0,,kripke,,,ctl,AG((p)->(AF(q))),msat
