Learned Formula Size,Sample size,Encoding Time,Solving Time,Formula Type,Learned Formula,Verification,Sample,Solver,Model Type,Size Bound,Original Formula,Total Time,Players,Propositions
5,40,831.5,91.12,atl,<>G((p -> <1>X(q))),True,test_suite/large_cgs/CGS/f:06-nm:020-sm:013.sp,msat,cgs,15,<>G((p -> <1>X(q))),922.62,2,2
5,20,49.39,13.35,atl,"<>G((p -> <0,1>F(q)))",True,test_suite/large_cgs/CGS/f:05-nm:010-sm:008.sp,msat,cgs,15,"<>G((p -> <0,1>F(q)))",62.73,2,2
4,30,624.78,20.45,atl,<>G((p -> <1>G(p))),True,test_suite/large_cgs/CGS/f:04-nm:015-sm:018.sp,msat,cgs,15,<>G((p -> <1>G(p))),645.23,2,2
3,50,7.53,0.09,atl,<>G((! p)),True,test_suite/large_cgs/CGS/f:07-nm:025-sm:003.sp,msat,cgs,15,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),7.62,2,3
4,10,63.18,4.3,atl,<1>G(<1>F(<0>G(q))),True,test_suite/large_cgs/CGS/f:03-nm:005-sm:018.sp,msat,cgs,15,<>G(((p & (! q)) -> <1>G(p))),67.48,2,2
5,40,2110.87,160.45,atl,"<>G((p -> <0,1>F(q)))",True,test_suite/large_cgs/CGS/f:05-nm:020-sm:018.sp,msat,cgs,15,"<>G((p -> <0,1>F(q)))",2271.32,2,2
5,20,7.17,0.36,atl,<>G((p -> <1>X(q))),True,test_suite/large_cgs/CGS/f:06-nm:010-sm:003.sp,msat,cgs,15,<>G((p -> <1>X(q))),7.53,2,2
6,30,885.78,1543.89,atl,"<>G((p -> <0,1>X((! <0>F(p)))))",True,test_suite/large_cgs/CGS/f:07-nm:015-sm:013.sp,msat,cgs,15,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),2429.67,2,3
2,60,111.62,0.7,atl,<1>X(p),True,test_suite/large_cgs/CGS/f:01-nm:030-sm:013.sp,msat,cgs,15,<1>X(p),112.32,2,2
4,50,202.92,1.55,atl,<>G((p -> <1>G(p))),True,test_suite/large_cgs/CGS/f:04-nm:025-sm:008.sp,msat,cgs,15,<>G((p -> <1>G(p))),204.48,2,2
5,30,2370.45,173.83,atl,<>G((p -> <1>X(q))),True,test_suite/large_cgs/CGS/f:06-nm:015-sm:023.sp,msat,cgs,15,<>G((p -> <1>X(q))),2544.28,2,2
5,10,1.74,0.19,atl,<0>G((p -> <>X(q))),True,test_suite/large_cgs/CGS/f:06-nm:005-sm:003.sp,msat,cgs,15,<>G((p -> <1>X(q))),1.93,2,2
6,20,813.85,856.13,atl,<>G(((p -> q) | <1>G(p))),True,test_suite/large_cgs/CGS/f:03-nm:010-sm:018.sp,msat,cgs,15,<>G(((p & (! q)) -> <1>G(p))),1669.98,2,2
2,10,0.17,0.01,atl,<0>F(p),True,test_suite/large_cgs/CGS/f:02-nm:005-sm:003.sp,msat,cgs,15,<0>F(p),0.18,2,2
5,50,1216.94,59.81,atl,"<>G((p -> <0,1>F(q)))",True,test_suite/large_cgs/CGS/f:05-nm:025-sm:013.sp,msat,cgs,15,"<>G((p -> <0,1>F(q)))",1276.75,2,2
5,30,107.11,11.5,atl,<>G((p -> <1>X(q))),True,test_suite/large_cgs/CGS/f:06-nm:015-sm:008.sp,msat,cgs,15,<>G((p -> <1>X(q))),118.61,2,2
,60,0,0,atl,,,test_suite/large_cgs/CGS/f:04-nm:030-sm:023.sp,msat,cgs,15,<>G((p -> <1>G(p))),0,2,2
2,30,166.63,1.31,atl,<0>F(p),True,test_suite/large_cgs/CGS/f:02-nm:015-sm:023.sp,msat,cgs,15,<0>F(p),167.94,2,2
,50,0,0,atl,,,test_suite/large_cgs/CGS/f:04-nm:025-sm:023.sp,msat,cgs,15,<>G((p -> <1>G(p))),0,2,2
6,30,898.21,761.83,atl,<>G((<1>X(p) | (p -> q))),True,test_suite/large_cgs/CGS/f:03-nm:015-sm:013.sp,msat,cgs,15,<>G(((p & (! q)) -> <1>G(p))),1660.04,2,2
5,60,1848.54,70.9,atl,"<>G((p -> <0,1>F(q)))",True,test_suite/large_cgs/CGS/f:05-nm:030-sm:013.sp,msat,cgs,15,"<>G((p -> <0,1>F(q)))",1919.43,2,2
2,20,0.46,0.01,atl,<0>F(p),True,test_suite/large_cgs/CGS/f:02-nm:010-sm:003.sp,msat,cgs,15,<0>F(p),0.47,2,2
3,10,25.9,0.5,atl,"(! <0,1>X(p))",True,test_suite/large_cgs/CGS/f:07-nm:005-sm:018.sp,msat,cgs,15,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),26.41,2,3
2,40,135.51,0.92,atl,<1>X(p),True,test_suite/large_cgs/CGS/f:01-nm:020-sm:018.sp,msat,cgs,15,<1>X(p),136.43,2,2
