Sample size,Solver,Propositions,Players,Size Bound,Encoding Time,Total Time,Verification,Model Type,Sample,Solving Time,Learned Formula,Learned Formula Size,Original Formula,Formula Type
50,msat,2,2,15,627.95,1469.7,True,cgs,test_suite/large_cgs/CGS/f:03-nm:025-sm:013.sp,841.76,<>G((q | (p -> <1>G(p)))),6,<>G(((p & (! q)) -> <1>G(p))),atl
60,msat,2,2,15,1726.73,2015.08,True,cgs,test_suite/large_cgs/CGS/f:06-nm:030-sm:023.sp,288.35,<>G((p -> <1>X(q))),5,<>G((p -> <1>X(q))),atl
30,msat,2,2,15,29.41,32.51,True,cgs,test_suite/large_cgs/CGS/f:04-nm:015-sm:008.sp,3.11,<>G((p -> <1>X(p))),4,<>G((p -> <1>G(p))),atl
60,msat,2,2,15,11.78,11.98,True,cgs,test_suite/large_cgs/CGS/f:02-nm:030-sm:008.sp,0.2,<0>F(p),2,<0>F(p),atl
50,msat,3,2,15,618.72,1268.7,True,cgs,test_suite/large_cgs/CGS/f:07-nm:025-sm:013.sp,649.98,"<>G((p -> <0,1>X(<1>G((! p)))))",6,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),atl
40,msat,2,2,15,805.05,1931.51,True,cgs,test_suite/large_cgs/CGS/f:03-nm:020-sm:018.sp,1126.46,<>G((<1>G(p) | (p -> q))),6,<>G(((p & (! q)) -> <1>G(p))),atl
10,msat,2,2,15,17.17,20.28,True,cgs,test_suite/large_cgs/CGS/f:05-nm:005-sm:018.sp,3.11,"<0,1>(p U <>X((! p)))",4,"<>G((p -> <0,1>F(q)))",atl
60,msat,3,2,15,0,0,,cgs,test_suite/large_cgs/CGS/f:07-nm:030-sm:013.sp,0,,,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),atl
30,msat,2,2,15,8.26,8.49,True,cgs,test_suite/large_cgs/CGS/f:01-nm:015-sm:013.sp,0.22,<1>X(p),2,<1>X(p),atl
50,msat,2,2,15,8.02,8.17,True,cgs,test_suite/large_cgs/CGS/f:02-nm:025-sm:008.sp,0.15,<0>F(p),2,<0>F(p),atl
50,msat,2,2,15,1251.86,1671.64,True,cgs,test_suite/large_cgs/CGS/f:06-nm:025-sm:023.sp,419.78,<>G((p -> <1>X(q))),5,<>G((p -> <1>X(q))),atl
60,msat,2,2,15,101.41,103.34,True,cgs,test_suite/large_cgs/CGS/f:01-nm:030-sm:023.sp,1.93,<1>X(p),2,<1>X(p),atl
10,msat,3,2,15,0.28,0.29,True,cgs,test_suite/large_cgs/CGS/f:07-nm:005-sm:003.sp,0.02,(! <1>F(p)),3,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),atl
40,msat,2,2,15,0.88,0.91,True,cgs,test_suite/large_cgs/CGS/f:01-nm:020-sm:003.sp,0.03,<1>X(p),2,<1>X(p),atl
20,msat,2,2,15,7.77,8.13,True,cgs,test_suite/large_cgs/CGS/f:02-nm:010-sm:018.sp,0.36,<0>F(p),2,<0>F(p),atl
40,msat,2,2,15,235.4,257.31,True,cgs,test_suite/large_cgs/CGS/f:04-nm:020-sm:018.sp,21.91,<>G((p -> <1>G(p))),4,<>G((p -> <1>G(p))),atl
10,msat,2,2,15,2.3,2.46,True,cgs,test_suite/large_cgs/CGS/f:02-nm:005-sm:018.sp,0.16,<0>F(p),2,<0>F(p),atl
20,msat,3,2,15,0.66,0.69,True,cgs,test_suite/large_cgs/CGS/f:07-nm:010-sm:003.sp,0.03,(! <1>F(p)),3,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),atl
50,msat,2,2,15,71.93,73.7,True,cgs,test_suite/large_cgs/CGS/f:01-nm:025-sm:023.sp,1.77,<1>X(p),2,<1>X(p),atl
30,msat,2,2,15,133.37,247.3,True,cgs,test_suite/large_cgs/CGS/f:06-nm:015-sm:013.sp,113.94,<>G((p -> <1>X(q))),5,<>G((p -> <1>X(q))),atl
50,msat,2,2,15,139.23,217.58,True,cgs,test_suite/large_cgs/CGS/f:05-nm:025-sm:008.sp,78.36,"<>G((p -> <0,1>F(q)))",5,"<>G((p -> <0,1>F(q)))",atl
