Sample size,Solver,Propositions,Players,Size Bound,Encoding Time,Total Time,Verification,Model Type,Sample,Solving Time,Learned Formula,Learned Formula Size,Original Formula,Formula Type
10,msat,2,2,15,4.0,4.27,True,cgs,test_suite/large_cgs/CGS/f:01-nm:005-sm:023.sp,0.27,<1>X(p),2,<1>X(p),atl
21,msat,3,2,15,50.12,53.09,True,cgs,test_suite/large_cgs/CGS/f:07-nm:020-sm:023.sp,2.97,<>G((! p)),3,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),atl
20,msat,2,2,15,13.62,14.2,True,cgs,test_suite/large_cgs/CGS/f:01-nm:010-sm:023.sp,0.58,<1>X(p),2,<1>X(p),atl
40,msat,2,2,15,239.11,400.0,True,cgs,test_suite/large_cgs/CGS/f:06-nm:020-sm:013.sp,160.89,<>G((p -> <1>X(q))),5,<>G((p -> <1>X(q))),atl
20,msat,2,2,15,23.06,51.43,True,cgs,test_suite/large_cgs/CGS/f:05-nm:010-sm:008.sp,28.37,"<>G((p -> <0,1>F(q)))",5,"<>G((p -> <0,1>F(q)))",atl
30,msat,2,2,15,136.96,145.41,True,cgs,test_suite/large_cgs/CGS/f:04-nm:015-sm:018.sp,8.45,<>G((p -> <1>G(p))),4,<>G((p -> <1>G(p))),atl
50,msat,3,2,15,4.28,4.37,True,cgs,test_suite/large_cgs/CGS/f:07-nm:025-sm:003.sp,0.09,"(! <0,1>F(p))",3,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),atl
10,msat,2,2,15,16.85,22.23,True,cgs,test_suite/large_cgs/CGS/f:03-nm:005-sm:018.sp,5.38,"<>G(<0,1>X(<0>F(p)))",4,<>G(((p & (! q)) -> <1>G(p))),atl
40,msat,2,2,15,462.74,804.94,True,cgs,test_suite/large_cgs/CGS/f:05-nm:020-sm:018.sp,342.2,"<>G((p -> <0,1>F(q)))",5,"<>G((p -> <0,1>F(q)))",atl
20,msat,2,2,15,3.9,4.27,True,cgs,test_suite/large_cgs/CGS/f:06-nm:010-sm:003.sp,0.37,<>G((p -> <1>X(q))),5,<>G((p -> <1>X(q))),atl
30,msat,3,2,15,231.54,772.42,True,cgs,test_suite/large_cgs/CGS/f:07-nm:015-sm:013.sp,540.88,<>G((! (<1>X(<0>F(p)) & p))),6,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),atl
60,msat,2,2,15,30.6,31.13,True,cgs,test_suite/large_cgs/CGS/f:01-nm:030-sm:013.sp,0.53,<1>X(p),2,<1>X(p),atl
50,msat,2,2,15,73.84,78.08,True,cgs,test_suite/large_cgs/CGS/f:04-nm:025-sm:008.sp,4.24,<>G((p -> <1>X(p))),4,<>G((p -> <1>G(p))),atl
30,msat,2,2,15,443.55,848.45,True,cgs,test_suite/large_cgs/CGS/f:06-nm:015-sm:023.sp,404.89,<>G((p -> <1>X(q))),5,<>G((p -> <1>X(q))),atl
10,msat,2,2,15,1.1,1.24,True,cgs,test_suite/large_cgs/CGS/f:06-nm:005-sm:003.sp,0.15,"(<0>F(<0,1>X(p)) -> q)",5,<>G((p -> <1>X(q))),atl
20,msat,2,2,15,203.64,1507.5,True,cgs,test_suite/large_cgs/CGS/f:03-nm:010-sm:018.sp,1303.87,<>G((p -> (<1>G(p) | q))),6,<>G(((p & (! q)) -> <1>G(p))),atl
10,msat,2,2,15,0.11,0.11,True,cgs,test_suite/large_cgs/CGS/f:02-nm:005-sm:003.sp,0.01,<0>F(p),2,<0>F(p),atl
50,msat,2,2,15,366.34,468.98,True,cgs,test_suite/large_cgs/CGS/f:05-nm:025-sm:013.sp,102.63,"<>G((p -> <0,1>F(q)))",5,"<>G((p -> <0,1>F(q)))",atl
30,msat,2,2,15,43.91,72.5,True,cgs,test_suite/large_cgs/CGS/f:06-nm:015-sm:008.sp,28.58,<>G((p -> <1>X(q))),5,<>G((p -> <1>X(q))),atl
60,msat,2,2,15,886.58,916.47,True,cgs,test_suite/large_cgs/CGS/f:04-nm:030-sm:023.sp,29.89,<>G((p -> <1>X(p))),4,<>G((p -> <1>G(p))),atl
30,msat,2,2,15,28.73,29.71,True,cgs,test_suite/large_cgs/CGS/f:02-nm:015-sm:023.sp,0.98,<0>F(p),2,<0>F(p),atl
50,msat,2,2,15,616.79,678.21,True,cgs,test_suite/large_cgs/CGS/f:04-nm:025-sm:023.sp,61.42,<>G((p -> <1>X(p))),4,<>G((p -> <1>G(p))),atl
30,msat,2,2,15,250.26,924.36,True,cgs,test_suite/large_cgs/CGS/f:03-nm:015-sm:013.sp,674.1,<>G((p -> (<1>X(p) | q))),6,<>G(((p & (! q)) -> <1>G(p))),atl
60,msat,2,2,15,534.76,777.91,True,cgs,test_suite/large_cgs/CGS/f:05-nm:030-sm:013.sp,243.15,"<>G(<0,1>(p U (p -> q)))",5,"<>G((p -> <0,1>F(q)))",atl
20,msat,2,2,15,0.41,0.42,True,cgs,test_suite/large_cgs/CGS/f:02-nm:010-sm:003.sp,0.01,<0>F(p),2,<0>F(p),atl
10,msat,3,2,15,7.7,8.34,True,cgs,test_suite/large_cgs/CGS/f:07-nm:005-sm:018.sp,0.64,<>X((! p)),3,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),atl
40,msat,2,2,15,27.78,28.58,True,cgs,test_suite/large_cgs/CGS/f:01-nm:020-sm:018.sp,0.8,<1>X(p),2,<1>X(p),atl
