Sample,Original Formula,Propositions,Solving Time,Encoding Time,Total Time,Learned Formula Size,Sample size,Solver,Learned Formula,Verification,Size Bound,Formula Type,Players,Positive,Negative,Size Lower,Size Upper,Verification,Total_Time_TB,Encoding_Time_TB,Learned Formula Size_TB,Solving Time_TB,Learned Formula_TB
test_suite/large_cgs/CGS/f:04-nm:030-sm:003.sp,<>G((p -> <1>G(p))),2,0.3,31.74,32.04,4,60,msat,<>G((p -> <1>X(p))),TRUE,20,atl,2,30,30,1,5,TRUE,17.49,17.13,4,0.36,<>G((p -> <1>X(p)))
test_suite/large_cgs/CGS/f:05-nm:005-sm:003.sp,"<>G((p -> <0,1>F(q)))",2,0.06,1.15,1.21,4,10,msat,(<1>F(p) -> q),TRUE,20,atl,2,5,5,1,5,TRUE,0.75,0.7,4,0.06,(<1>F(p) -> q)
test_suite/large_cgs/CGS/f:05-nm:010-sm:003.sp,"<>G((p -> <0,1>F(q)))",2,0.25,5.22,5.47,5,20,msat,<>X((<1>X(p) -> q)),TRUE,20,atl,2,10,10,1,5,TRUE,3.18,3.01,5,0.17,<>X((<1>X(p) -> q))
test_suite/large_cgs/CGS/f:05-nm:015-sm:003.sp,"<>G((p -> <0,1>F(q)))",2,0.38,10.56,10.94,5,30,msat,"<>G((p -> <0,1>X(q)))",TRUE,20,atl,2,15,15,1,5,TRUE,6.49,6.1,5,0.39,"<>G((p -> <0,1>F(q)))"
test_suite/large_cgs/CGS/f:05-nm:020-sm:003.sp,"<>G((p -> <0,1>F(q)))",2,0.58,17.83,18.4,5,40,msat,"<>G((p -> <0,1>F(q)))",TRUE,20,atl,2,20,20,1,5,TRUE,11.07,10.53,5,0.54,"<>G((p -> <0,1>F(q)))"
test_suite/large_cgs/CGS/f:05-nm:025-sm:003.sp,"<>G((p -> <0,1>F(q)))",2,1.01,29.03,30.04,5,50,msat,"<>G((p -> <0,1>F(q)))",TRUE,20,atl,2,25,25,1,5,TRUE,18.1,17.51,5,0.59,"<>G((p -> <0,1>F(q)))"
test_suite/large_cgs/CGS/f:05-nm:030-sm:003.sp,"<>G((p -> <0,1>F(q)))",2,1.1,39.53,40.63,5,60,msat,"<>G((p -> <0,1>F(q)))",TRUE,20,atl,2,30,30,1,5,TRUE,23.45,22.76,5,0.69,"<>G((p -> <0,1>F(q)))"
test_suite/large_cgs/CGS/f:06-nm:005-sm:003.sp,<>G((p -> <1>X(q))),2,0.19,1.75,1.94,5,10,msat,<0>G((p -> <>X(q))),TRUE,20,atl,2,5,5,1,5,TRUE,1.26,1.1,5,0.16,"(<>(p U <0,1>X(p)) -> q)"
test_suite/large_cgs/CGS/f:06-nm:010-sm:003.sp,<>G((p -> <1>X(q))),2,0.28,7.2,7.48,5,20,msat,<>G((p -> <1>X(q))),TRUE,20,atl,2,10,10,1,5,TRUE,4.06,3.82,5,0.25,<>G((p -> <1>X(q)))
test_suite/large_cgs/CGS/f:06-nm:015-sm:003.sp,<>G((p -> <1>X(q))),2,0.44,16.49,16.93,5,30,msat,<>G((p -> <1>X(q))),TRUE,20,atl,2,15,15,1,5,TRUE,9.83,9.16,5,0.67,<>G((p -> <1>X(q)))
